3.162277660168379394e-03 9.812103143622753487e-01 1.000000000000000000e+00 9.512725787947552414e-01
3.490254878959579525e-03 9.020245641743875886e-01 1.000000000000000000e+00 8.516971439846652281e-01
3.852248420036753166e-03 8.163582191251748110e-01 9.683165830120054052e-01 7.487146625367716579e-01
4.251786303382890445e-03 7.260374015721291485e-01 9.065713372935025882e-01 6.438588050924578532e-01
4.692762459348836374e-03 6.333886505497500208e-01 8.394813417977702308e-01 5.387101955335449333e-01
5.179474679231212825e-03 5.410806000635375312e-01 7.687926871363872650e-01 4.353899615666005918e-01
5.716666501913615292e-03 4.519079396752272437e-01 6.963765658418255011e-01 3.364776535037182770e-01
6.309573444801930275e-03 3.685409648106914293e-01 6.240849724455184155e-01 2.447660293733280312e-01
6.963974029624321604e-03 2.932713339549291032e-01 5.536164829573206880e-01 1.629958452884741060e-01
7.686246100397737743e-03 2.277875849390262886e-01 4.864099746844726679e-01 9.360282736211733567e-02
8.483428982440725449e-03 1.730134713099872323e-01 4.235778590270349309e-01 3.846911077762960041e-02
9.363292088239416264e-03 1.290391775272519137e-01 3.658819542235617339e-01 1.347584431689474727e-03
1.033441063880556100e-02 9.516774160623198142e-02 3.137472357619605079e-01 2.592416335497138569e-02
1.140624923851320943e-02 7.008097892356479619e-02 2.673034361391214420e-01 3.676585313754099360e-02
1.258925411794167490e-02 5.209833744373815190e-02 2.264425652385987364e-01 3.687894806959657323e-02
1.389495494373137359e-02 3.946835012557181610e-02 1.908813940799827247e-01 3.032473192116369454e-02
1.533607718770011591e-02 3.061721973005315789e-02 1.602206301923179144e-01 2.120399700070496607e-02
1.692666615037876146e-02 2.429776219969759232e-02 1.339957125756682244e-01 1.257565186725750905e-02
1.868222384771036498e-02 1.962553907565356415e-02 1.117170099856070742e-01 5.981469305113007451e-03
2.061986009502220218e-02 1.603048991528388534e-02 9.289930243551880462e-02 1.702462928319770086e-03
2.275845926074788680e-02 1.317037422208300335e-02 7.708169937901265811e-02 6.656495281471830339e-04
2.511886431509579437e-02 1.084547399161761572e-02 6.383973822999344794e-02 1.723800218700444198e-03
2.772407996741774183e-02 8.935098941381336424e-03 5.279152280433352384e-02 2.004394572239109884e-03
3.059949687207196012e-02 7.359062239147506901e-03 4.359960030033760425e-02 1.885969985842894658e-03
3.377313908791008956e-02 6.057980332148438229e-03 3.596998763741532379e-02 1.601994417271934701e-03
3.727593720314940212e-02 4.984478686562598959e-03 2.964944079646802955e-02 1.280481132387878418e-03
4.114202978752842799e-02 4.099479475099365722e-03 2.442176840036114349e-02 9.830162269379716378e-04
4.540909610972476695e-02 3.370444590488186343e-03 2.010374709553353068e-02 7.333532685451782385e-04
5.011872336272722023e-02 2.770280089485210873e-03 1.654100883043918557e-02 5.356177953095286881e-04
5.531681197617226847e-02 2.276493210481400631e-03 1.360414213376026638e-02 3.849625969825076766e-04
6.105402296585329958e-02 1.870542773233951905e-03 1.118519717099597521e-02 2.734625328333351035e-04
6.738627168030944525e-02 1.537521877107428381e-03 9.194855220029274356e-03 1.934027784482594825e-04
7.437527275659046311e-02 1.266610825536029772e-03 7.560803507685731617e-03 1.397407471033229598e-04
8.208914159638257269e-02 1.053292259661664509e-03 6.228429106925892356e-03 1.136309055274065116e-04
9.060305822453375291e-02 9.051444181631396191e-04 5.165772802184775969e-03 1.294296617554424600e-04
1.000000000000000056e-01 8.538756934196589654e-04 4.375462111501970952e-03 2.281935457066897044e-04
1.103715503202757353e-01 9.765781119733807358e-04 3.916484213940085723e-03 5.007172387666569691e-04
1.218187912010115365e-01 1.428310527994192114e-03 3.937554855043323698e-03 1.121984191388647467e-03
1.344532884299760866e-01 2.485808886177665045e-03 4.721341036965198690e-03 2.396352485042441138e-03
1.483981788967565496e-01 4.598891489434375757e-03 6.735565649985231218e-03 4.809527102398791776e-03
1.637893706954064721e-01 8.443221180096105449e-03 1.068434301775922357e-02 9.080661661279521013e-03
1.807768676963434074e-01 1.496678624605751740e-02 1.755215740617555031e-02 1.620698259278641196e-02
1.995262314968879735e-01 2.542334265793688708e-02 2.863411634868284761e-02 2.749454926334782279e-02
2.202201949987375729e-01 4.138876498586741004e-02 4.554901106700393054e-02 4.457167379291004927e-02
2.430604433384409013e-01 6.475988340640392860e-02 7.023537325716233681e-02 6.938519854021918398e-02
2.682695795279725903e-01 9.773902805371359470e-02 1.049342532586370336e-01 1.041833885722934783e-01
2.960932939627084481e-01 1.428104648120889220e-01 1.521652055190484409e-01 1.514919817127765578e-01
3.268027589410125167e-01 2.027166706250529415e-01 2.147034727188867897e-01 2.140914562960720691e-01
3.606972715326288714e-01 2.804426056397183453e-01 2.955663055406537731e-01 2.950035112878266474e-01
3.981071705534972027e-01 3.792147426407401767e-01 3.980147589802663921e-01 3.974931240933603505e-01
