3.162277660168379394e-03 6.467676024746182861e-07 3.880617114648821087e-06
3.490254878959579525e-03 5.309266111197530336e-07 3.185566160746056141e-06
3.852248420036753166e-03 4.358322505115808099e-07 2.615003806827331800e-06
4.251786303382890445e-03 3.577707968771548508e-07 2.146634947131076387e-06
4.692762459348836374e-03 2.936907391726251149e-07 1.762153636009067270e-06
5.179474679231212825e-03 2.410882861125784871e-07 1.446536557980770965e-06
5.716666501913615292e-03 1.979064991886048119e-07 1.187449425454900620e-06
6.309573444801930275e-03 1.624588473747579087e-07 9.747666646076069696e-07
6.963974029624321604e-03 1.333614132459359780e-07 8.001769116194878961e-07
7.686246100397737743e-03 1.094751178598585284e-07 6.568583215127432595e-07
8.483428982440725449e-03 8.986606248040374112e-08 5.392088383571191912e-07
9.363292088239416264e-03 7.377034805244875315e-08 4.426316609906777444e-07
1.033441063880556100e-02 6.055701229357168813e-08 3.633518426138238056e-07
1.140624923851320943e-02 4.971017120158904845e-08 2.982719251587440112e-07
1.258925411794167490e-02 4.080562399089160408e-08 2.448489635487050009e-07
1.389495494373137359e-02 3.349764454707582217e-08 2.009944373160266196e-07
1.533607718770011591e-02 2.749704475224490352e-08 1.649938410341889039e-07
1.692666615037876146e-02 2.257099751545865729e-08 1.354409498999231687e-07
1.868222384771036498e-02 1.852857134387875249e-08 1.111816326782033570e-07
2.061986009502220218e-02 1.520938652799230795e-08 9.126805544656946267e-08
2.275845926074788680e-02 1.248512537799228994e-08 7.492134479480938580e-08
2.511886431509579437e-02 1.024802998017548816e-08 6.150121389936202831e-08
2.772407996741774183e-02 8.411703777966295092e-09 5.048599938106690388e-08
3.059949687207196012e-02 6.904920302197581350e-09 4.144254717175499536e-08
3.377313908791008956e-02 5.667950331300630751e-09 3.401935522173715754e-08
3.727593720314940212e-02 4.660901664621519558e-09 2.793417797075647968e-08
4.114202978752842799e-02 3.928993796975532860e-09 2.303454293972606592e-08
4.540909610972476695e-02 4.225193084295142398e-09 1.990918552241538464e-08
5.011872336272722023e-02 1.121424419991967625e-08 2.409051969021192008e-08
5.531681197617226847e-02 5.846239159446042777e-08 6.904593674583736629e-08
6.105402296585329958e-02 3.098165116677265019e-07 3.185696985097408174e-07
6.738627168030944525e-02 1.437284374739000725e-06 1.444731749122851738e-06
7.437527275659046311e-02 5.792073052846014036e-06 5.799109045079298141e-06
8.208914159638257269e-02 2.048809394727957311e-05 2.049670187009855482e-05
9.060305822453375291e-02 6.437048441976234159e-05 6.438526981833447849e-05
1.000000000000000056e-01 1.816469031535872247e-04 1.816778716953182382e-04
1.103715503202757353e-01 4.651220876038530960e-04 4.651891131747243335e-04
1.218187912010115365e-01 1.090874572836408873e-03 1.091013657233075307e-03
1.344532884299760866e-01 2.363693075329020843e-03 2.363964040116961485e-03
1.483981788967565496e-01 4.769318024937185818e-03 4.769812807034923274e-03
1.637893706954064721e-01 9.026812572960563053e-03 9.027662932081015335e-03
1.807768676963434074e-01 1.613342708527576441e-02 1.613481060057253558e-02
1.995262314968879735e-01 2.739554137067268247e-02 2.739768492501037933e-02
2.202201949987375729e-01 4.444218746760530969e-02 4.444536795005915586e-02
2.430604433384409013e-01 6.922134168850735403e-02 6.922588424609898983e-02
2.682695795279725903e-01 1.039827465128965178e-01 1.039890211600381642e-01
2.960932939627084481e-01 1.512538210850569165e-01 1.512622388567052001e-01
3.268027589410125167e-01 2.138167490832035833e-01 2.138277590079272761e-01
3.606972715326288714e-01 2.946947754468639546e-01 2.947088635075688634e-01
3.981071705534972027e-01 3.971541137936733801e-01 3.971718046548133874e-01
