3.162277660168379394e-03 1.655932445522312335e-04
3.490254878959579525e-03 1.359423220321787085e-04
3.852248420036753166e-03 1.115994425057165174e-04
4.251786303382890445e-03 9.161477003605256186e-05
4.692762459348836374e-03 7.520830158602720417e-05
5.179474679231212825e-03 6.173954909938217384e-05
5.716666501913615292e-03 5.068261250162908738e-05
6.309573444801930275e-03 4.160569228262023245e-05
6.963974029624321604e-03 3.415427616093591467e-05
7.686246100397737743e-03 2.803730217770805666e-05
8.483428982440725449e-03 2.301581826125165264e-05
9.363292088239416264e-03 1.889364700802254049e-05
1.033441063880556100e-02 1.550973854236303850e-05
1.140624923851320943e-02 1.273188486272669451e-05
1.258925411794167490e-02 1.045154395218350629e-05
1.389495494373137359e-02 8.579615415671426604e-06
1.533607718770011591e-02 7.042954762614961339e-06
1.692666615037876146e-02 5.781516411618170537e-06
1.868222384771036498e-02 4.746006417088999285e-06
2.061986009502220218e-02 3.895962932931595901e-06
2.275845926074788680e-02 3.198167036977395128e-06
2.511886431509579437e-02 2.625350927654146460e-06
2.772407996741774183e-02 2.155129901870722620e-06
3.059949687207196012e-02 1.769129845285988267e-06
3.377313908791008956e-02 1.452264253409829564e-06
3.727593720314940212e-02 1.192160592022872834e-06
4.114202978752842799e-02 9.787377830416943425e-07
4.540909610972476695e-02 8.044323450695500810e-07
5.011872336272722023e-02 6.680630131317144560e-07
5.531681197617226847e-02 5.974650905127276701e-07
6.105402296585329958e-02 7.513186383034664573e-07
6.738627168030944525e-02 1.795787447411711923e-06
7.437527275659046311e-02 6.072567650061699851e-06
8.208914159638257269e-02 2.067590168386423954e-05
9.060305822453375291e-02 6.440902672610882007e-05
1.000000000000000056e-01 1.813963693145792533e-04
1.103715503202757353e-01 4.642929268169337931e-04
1.218187912010115365e-01 1.088933957508864125e-03
1.344532884299760866e-01 2.359749672444011459e-03
1.483981788967565496e-01 4.761997884767943390e-03
1.637893706954064721e-01 9.014143592252055193e-03
1.807768676963434074e-01 1.611274914523563861e-02
1.995262314968879735e-01 2.736345416818608545e-02
2.202201949987375729e-01 4.439453998673537072e-02
2.430604433384409013e-01 6.915325855398279931e-02
2.682695795279725903e-01 1.038886788641564252e-01
2.960932939627084481e-01 1.511276044020273268e-01
3.268027589410125167e-01 2.136516486296544670e-01
3.606972715326288714e-01 2.944835020343901100e-01
3.981071705534972027e-01 3.968887978852818632e-01
